"","Address","Phone","Hours"
"167","9050-6660 Sooke Rd Sooke, V9Z 0A5","(250) 642-3233","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"168","16 - 4429 Kingsway Burnaby, V5H 2A1","(604) 660-5486","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"169","117 Red Cedar Dr Sparwood, V0B 2G0","(250) 425-6254","Monday: 10:30am - 6:00pm|Tuesday: 10:30am - 6:00pm|Wednesday: 10:30am - 6:00pm|Thursday: 10:30am - 6:00pm|Friday: 10:30am - 8:00pm|Saturday: 10:30am - 6:00pm"
"170","40204 Glenalder Place Squamish, V8B 0G2","(604) 892-3955","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"171","415 4th Ave Stewart, V0T 1W0","(250) 636-2524","Monday: Closed Tuesday: 10:30am - 6:00pm|- Closed for lunch 12pm-1pm|Wednesday: 10:30am - 6:00pm|- Closed for lunch 12pm-1pm|Thursday: 10:30am - 6:00pm|- Closed for lunch 12pm-1pm|Friday: 10:30am - 6:00pm|- Closed for lunch 12pm-1pm|Saturday: 10:30am - 6:00pm|- Closed for lunch 12pm-1pm"
"172","#12 - 13604 Victoria Rd N Summerland, V0H 1Z0","(250) 494-3591","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"173","3240 Eby St Terrace, V8G 5H4","(250) 635-5850","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"174","328 Neill St Tofino, V0R 2Z0","(250) 725-3722","Monday: 10:00am - 7:00pm|Tuesday: 10:00am - 7:00pm|Wednesday: 10:00am - 7:00pm|Thursday: 10:00am - 7:00pm|Friday: 10:00am - 9:00pm|Saturday: 10:00am - 9:00pm|Sunday: 11:00am - 6:00pm"
"175","8 - 7103 W Saanich Rd Brentwood Bay, V8M 1R1","(250) 652-1212","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"176","1629 2nd Ave Trail, V1R 1M3","(250) 364-0558","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"177","1319 H 56th St Delta, V4L 2A6","(604) 943-3322","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"178","225 Main St Tumbler Ridge, V0C 2W0","(250) 242-3366","Monday: 10:30 am - 6:00 pm|Tuesday: 10:30 am - 6:00 pm|Wednesday: 10:30 am - 6:00 pm|Thursday: 10:30 am - 6:00 pm|Friday: 10:30 am - 6:00 pm|Saturday: 10:30 am - 6:00 pm"
"179","101 - 3313 Shrum Lane Vancouver, V6S 0B9","(604) 225-5220","Monday: 10:00am - 9:00pm|Tuesday: 10:00am - 9:00pm|Wednesday: 10:00am - 9:00pm|Thursday: 10:00am - 9:00pm|Friday: 10:00am - 9:00pm|Saturday: 10:00am - 9:00pm|Sunday: 11:00am - 6:00pm"
"180","234 Main St Ucluelet, V0R 3A0","(250) 726-4411","Monday: 10:00am - 6:00pm|Tuesday: 10:00am - 6:00pm|Wednesday: 10:00am - 6:00pm|Thursday: 10:00am - 6:00pm|Friday: 10:00am - 8:00pm|Saturday: 10:00am - 6:00pm|Sunday: 11:00am - 6:00pm"
"181","1163 - 5th Ave Valemount, V0E 2Z0","(250) 566-4200","Monday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Tuesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Wednesday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Thursday: 10:30am - 6:00pm|- Closed for lunch 1pm-2pm|Friday: 10:30am - 8:00pm|Saturday: 10:30am - 6:00pm"
"182","2557 Burrard St Vanderhoof, V0J 3A0","(250) 567-6310","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"183","4900 27th Street Vernon, V1T 7G7","(250) 503-3610","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"184","501 - 8840 210th St Langley, V1M 2Y2","(604) 513-4640","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"185","2475 Dobbin Rd Westbank, V4T 2E9","(250) 768-7394","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"186","600 - 2945 Jacklin Rd Langford, V9B 5E3","(250) 391-2811","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"187","770 - 2601 Westview Drive North Vancouver, V7N 3X4","(604) 981-0026","Monday: 9:30am - 11:00pm|Tuesday: 9:30am - 11:00pm|Wednesday: 9:30am - 11:00pm|Thursday: 9:30am - 11:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"188","100 - 2748 Lougheed Hwy Port Coquitlam, V3B 6P2","(604) 927-2681","Monday: 9:30am - 11:00pm|Tuesday: 9:30am - 11:00pm|Wednesday: 9:30am - 11:00pm|Thursday: 9:30am - 11:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
"189","101 - 10761 King George Blvd. Surrey, V3T 2X6","(604) 581-0511","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"190","2071 Lake Placid Road Whistler, V0N 1B2","(604) 905-4927","Monday: 10:00 am - 7:00 pm|Tuesday: 10:00 am - 7:00 pm|Wednesday: 10:00 am - 7:00 pm|Thursday: 10:00 am - 7:00 pm|Friday: 10:00 am - 9:00 pm|Saturday: 10:00 am - 9:00 pm"
"191","101 - 4360 Lorimer Rd Whistler, V0N 1B0","(604) 932-7251","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"192","4211 Village Square Whistler, V0N 1B4","(604) 932-5050","Monday: 10:00am - 11:00pm|Tuesday: 10:00am - 11:00pm|Wednesday: 10:00am - 11:00pm|Thursday: 10:00am - 11:00pm|Friday: 10:00am - 11:00pm|Saturday: 10:00am - 11:00pm|Sunday: 11:00am - 6:00pm"
"193","730-B Oliver St Williams Lake, V2G 1N1","(250) 398-4218","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"194","11 - 2116 Island Hwy S Campbell River, V9W 1C1","(250) 923-8637","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"195","30 - 10051 Hwy 97 North Winfield, V4V 1P6","(250) 766-4044","Monday: 9:30am - 7:00pm|Tuesday: 9:30am - 7:00pm|Wednesday: 9:30am - 7:00pm|Thursday: 9:30am - 7:00pm|Friday: 9:30am - 9:00pm|Saturday: 9:30am - 9:00pm|Sunday: 11:00am - 6:00pm"
"196","1108 Pacific Boulevard Vancouver, V6Z 2X7","(604) 664-0118","Monday: 9:30am - 9:00pm|Tuesday: 9:30am - 9:00pm|Wednesday: 9:30am - 9:00pm|Thursday: 9:30am - 9:00pm|Friday: 9:30am - 11:00pm|Saturday: 9:30am - 11:00pm|Sunday: 11:00am - 6:00pm"
